iter	Passed	Remaining
542	3686	3102
543	3693	3096
544	3700	3089
545	3705	3081
546	3710	3073
547	3717	3066
548	3723	3058
549	3728	3050
550	3735	3043
551	3740	3035
552	3745	3027
553	3751	3020
554	3757	3012
555	3762	3004
556	3768	2997
557	3773	2989
558	3779	2981
559	3784	2973
560	3790	2965
561	3796	2958
562	3801	2950
563	3807	2943
564	3814	2937
565	3822	2930
566	3828	2923
567	3835	2917
568	3843	2911
569	3850	2904
570	3856	2897
571	3863	2890
572	3868	2883
573	3873	2875
574	3882	2869
575	3888	2862
576	3898	2857
577	3906	2852
578	3911	2844
579	3918	2837
580	3930	2834
581	3946	2834
582	3964	2835
583	3978	2833
584	3992	2832
585	3998	2825
586	4004	2817
587	4010	2810
588	4015	2802
589	4022	2795
590	4030	2789
591	4035	2781
592	4042	2774
593	4050	2768
594	4059	2763
595	4065	2755
596	4072	2748
597	4077	2740
598	4082	2733
599	4090	2726
600	4095	2719
601	4101	2711
602	4106	2703
603	4112	2696
604	4118	2688
605	4123	2681
606	4128	2673
607	4135	2666
608	4141	2658
609	4146	2651
610	4153	2644
611	4158	2636
612	4163	2628
613	4170	2621
614	4175	2613
615	4180	2605
616	4186	2599
617	4192	2591
618	4198	2584
619	4203	2576
620	4208	2568
621	4215	2561
622	4220	2554
623	4225	2546
624	4233	2539
625	4240	2533
626	4246	2526
627	4253	2519
628	4260	2512
629	4268	2506
630	4273	2499
631	4280	2492
632	4285	2484
633	4291	2477
634	4297	2470
635	4303	2462
636	4308	2455
637	4314	2448
638	4319	2440
639	4325	2433
640	4338	2429
641	4348	2424
642	4353	2417
643	4360	2410
644	4365	2402
645	4370	2395
646	4377	2388
647	4382	2380
648	4387	2372
649	4393	2365
650	4399	2358
651	4404	2350
652	4411	2344
653	4416	2336
654	4422	2329
655	4427	2321
656	4433	2314
657	4441	2308
658	4448	2301
659	4453	2294
660	4461	2288
661	4476	2285
662	4485	2279
663	4495	2274
664	4506	2269
665	4513	2263
666	4523	2258
667	4531	2252
668	4543	2247
669	4548	2240
670	4556	2233
671	4561	2226
672	4566	2218
673	4572	2211
674	4578	2204
675	4583	2197
676	4589	2189
677	4594	2182
678	4600	2174
679	4606	2167
680	4611	2160
681	4617	2152
682	4622	2145
683	4627	2137
684	4634	2131
685	4642	2125
686	4648	2117
687	4655	2111
688	4662	2104
689	4670	2098
690	4675	2090
691	4681	2083
692	4687	2076
693	4692	2068
694	4698	2062
695	4704	2054
696	4709	2047
697	4716	2040
698	4721	2033
699	4727	2025
700	4732	2018
701	4737	2011
702	4743	2004
703	4750	1997
704	4755	1989
705	4761	1983
706	4767	1975
707	4772	1968
708	4778	1961
709	4783	1953
710	4788	1946
711	4795	1939
712	4800	1932
713	4805	1924
714	4812	1918
715	4817	1910
716	4822	1903
717	4828	1896
718	4833	1889
719	4839	1882
720	4847	1875
721	4852	1868
722	4859	1861
723	4866	1855
724	4875	1849
725	4881	1842
726	4888	1835
727	4894	1828
728	4899	1821
729	4906	1814
730	4911	1807
731	4916	1800
732	4922	1793
733	4928	1786
734	4933	1778
735	4940	1771
736	4945	1764
737	4952	1758
738	4962	1752
739	4979	1749
740	4987	1743
741	4992	1735
742	4997	1728
743	5004	1722
744	5010	1715
745	5017	1708
746	5020	1700
747	5025	1693
748	5030	1685
749	5037	1679
750	5043	1672
751	5049	1665
752	5057	1658
753	5062	1651
754	5069	1644
755	5076	1638
756	5085	1632
757	5090	1625
758	5096	1618
759	5102	1611
760	5107	1604
761	5114	1597
762	5120	1590
763	5125	1583
764	5131	1576
765	5137	1569
766	5142	1562
767	5149	1555
768	5154	1548
769	5160	1541
770	5166	1534
771	5171	1527
772	5177	1520
773	5182	1513
774	5187	1506
775	5193	1499
776	5199	1492
777	5204	1485
778	5211	1478
779	5216	1471
780	5221	1464
781	5227	1457
782	5233	1450
783	5238	1443
784	5244	1436
785	5250	1429
786	5257	1422
787	5264	1416
788	5269	1409
789	5276	1402
790	5283	1396
791	5293	1390
792	5298	1383
793	5304	1376
794	5310	1369
795	5315	1362
796	5321	1355
797	5326	1348
798	5332	1341
799	5338	1334
800	5344	1327
801	5349	1320
802	5358	1314
803	5365	1308
804	5371	1301
805	5377	1294
806	5382	1287
807	5388	1280
808	5393	1273
809	5399	1266
810	5401	1258
811	5406	1251
812	5412	1244
813	5418	1238
814	5423	1231
815	5429	1224
816	5435	1217
817	5440	1210
818	5445	1203
819	5452	1196
820	5457	1189
821	5463	1183
822	5470	1176
823	5476	1169
824	5482	1162
825	5492	1157
826	5502	1151
827	5508	1144
828	5509	1136
829	5516	1129
830	5522	1123
831	5528	1116
832	5533	1109
833	5538	1102
834	5544	1095
835	5550	1088
836	5555	1081
837	5562	1075
838	5568	1068
839	5573	1061
840	5580	1054
841	5585	1048
842	5591	1041
843	5596	1034
844	5602	1027
845	5607	1020
846	5613	1013
847	5618	1007
848	5624	1000
849	5630	993
850	5635	986
851	5641	979
852	5646	973
853	5651	966
854	5660	960
855	5666	953
856	5675	946
857	5682	940
858	5689	933
859	5695	927
860	5700	920
861	5707	913
862	5712	906
863	5718	900
864	5724	893
865	5729	886
866	5736	879
867	5744	873
868	5750	866
869	5756	860
870	5762	853
871	5767	846
872	5774	840
873	5779	833
874	5786	826
875	5791	819
876	5796	813
877	5802	806
878	5808	799
879	5813	792
880	5819	786
881	5825	779
882	5830	772
883	5836	765
884	5841	759
885	5846	752
886	5856	746
887	5861	739
888	5869	732
889	5877	726
890	5886	720
891	5891	713
892	5898	706
893	5903	700
894	5909	693
895	5915	686
896	5920	679
897	5925	673
898	5933	666
899	5938	659
900	5944	653
901	5949	646
902	5955	639
903	5961	633
904	5966	626
905	5971	619
906	5977	612
907	5984	606
908	5989	599
909	5995	592
910	6001	586
911	6007	579
912	6013	573
913	6019	566
914	6024	559
915	6030	552
916	6035	546
917	6041	539
918	6050	533
919	6055	526
920	6064	520
921	6070	513
922	6079	507
923	6085	500
924	6092	493
925	6097	487
926	6103	480
927	6109	474
928	6115	467
929	6120	460
930	6126	454
931	6132	447
932	6137	440
933	6143	434
934	6148	427
935	6154	420
936	6160	414
937	6165	407
938	6172	400
939	6181	394
940	6188	388
941	6193	381
942	6199	374
943	6205	368
944	6210	361
945	6216	354
946	6222	348
947	6227	341
948	6233	334
949	6238	328
950	6244	321
951	6250	315
952	6257	308
953	6262	301
954	6274	295
955	6280	289
956	6287	282
957	6293	275
958	6300	269
959	6305	262
960	6310	256
961	6318	249
962	6323	242
963	6329	236
964	6335	229
965	6345	223
966	6353	216
967	6362	210
968	6369	203
969	6379	197
970	6388	190
971	6396	184
972	6403	177
973	6411	171
974	6417	164
975	6423	157
976	6429	151
977	6435	144
978	6440	138
979	6449	131
980	6454	125
981	6463	118
982	6469	111
983	6477	105
984	6483	98
985	6488	92
986	6495	85
987	6501	78
988	6507	72
989	6513	65
990	6515	59
991	6520	52
992	6526	46
993	6532	39
994	6538	32
995	6543	26
996	6549	19
997	6555	13
998	6560	6
999	6565	0
